tag,cfg,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v2.0.0,AI,-4.318474725274725,-16.620508791208792,-18.849936263736264,-5.775147252747253,-4.321210989010989,-4.624938461538461,-5.2544571428571425,-5.179678021978022,-4.668645054945055,-9.406575824175823,-4.296828571428571,-16.629631868131867,-18.810642857142856,-5.205257142857143
v2.0.0,AS,-2.861925,-8.7768625,-8.995862500000001,-3.578475,-2.568225,-2.8171625000000002,-2.2037875000000002,-2.3041375,-3.1276,-5.5004375,-2.8773,-8.7836625,-9.141125,-3.526875
v2.0.0,LD,-1.783894642857143,-10.724725000000001,-11.0054,-2.6455142857142855,-2.170225,-2.263744642857143,-2.254073214285714,-2.1492642857142856,-1.7285732142857142,-4.314666071428571,-1.862355357142857,-10.689055357142857,-10.826282142857142,-2.5171214285714285
v2.0.0,RA,-2.971540659340659,-9.882387912087912,-11.612115384615386,-3.7986538461538464,-2.8109571428571427,-3.1726450549450544,-2.813968131868132,-2.6236604395604393,-2.89572967032967,-5.398325274725274,-3.1624626373626374,-9.765250549450549,-11.228131868131868,-3.4036901098901096
v2.0.0,Still,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.9986105263157894,-3.251359649122807,-3.1683877192982455,-3.5311508771929825,-3.6058315789473685,-3.9585666666666666,-5.915001754385965,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.278654385964912
v3.0.0,AI,-7.523592307692307,-19.20289010989011,-22.192128571428572,-8.954147252747253,-6.828404395604396,-7.302535164835165,-7.7185978021978014,-7.529079120879121,-7.337176923076923,-12.640457142857143,-7.513916483516483,-19.18605714285714,-22.14782307692308,-8.356725274725274
v3.0.0,AS,-12.3428625,-14.73105,-16.6355625,-12.726075,-10.0233625,-11.3174125,-15.2303,-14.61875,-11.635275,-13.9851875,-12.3673125,-14.703575,-16.7515875,-12.772287500000001
v3.0.0,LD,-6.518314285714285,-15.806169642857142,-15.259046428571429,-7.373253571428571,-6.4566517857142856,-6.5621535714285715,-7.4854482142857135,-6.997942857142857,-5.881657142857143,-9.256866071428572,-6.590371428571428,-16.066598214285715,-15.1862375,-7.233512500000001
v3.0.0,RA,-10.841051648351648,-16.18310989010989,-16.733113186813185,-11.431017582417583,-10.116626373626373,-10.562937362637363,-14.691564835164835,-13.789246153846154,-10.082651648351648,-12.479086813186813,-10.98657912087912,-16.274053846153848,-16.628165934065933,-11.338115384615383
v3.0.0,Still,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.857873684210526,-4.501598245614034,-4.7294210526315785,-4.761310526315789,-4.670114035087719,-5.41709298245614,-7.600733333333333,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.075729824561403
v4.0.0,AI,-11.377768131868132,-26.36483186813187,-30.039354945054942,-13.237773626373627,-10.499548351648352,-11.195328571428572,-11.781516483516484,-11.424489010989012,-11.336172527472527,-17.757316483516483,-11.371592307692309,-26.38859010989011,-30.013582417582416,-12.684348351648351
v4.0.0,AS,-19.10925,-26.6148125,-28.556675,-20.062375,-15.756237500000001,-18.1516125,-23.940375,-23.0137875,-18.35565,-22.88155,-19.0659625,-26.6270625,-28.661925,-20.107625
v4.0.0,LD,-13.965591071428571,-27.819839285714288,-27.552826785714284,-15.306848214285713,-13.809994642857143,-13.999453571428571,-15.553117857142857,-14.91060892857143,-13.359789285714285,-18.259023214285715,-14.083480357142857,-28.01545357142857,-27.44942857142857,-15.107867857142859
v4.0.0,RA,-17.53204945054945,-27.777653846153846,-28.753216483516482,-18.67721978021978,-16.806793406593407,-17.40954065934066,-22.617038461538463,-21.4144010989011,-16.816649450549452,-21.12949010989011,-17.68578021978022,-27.898212087912086,-28.553271428571428,-18.463516483516486
v4.0.0,Still,-7.156673684210527,-20.216508771929824,-23.839143859649123,-8.772631578947369,-6.398454385964913,-7.2876315789473685,-6.943554385964912,-6.754717543859648,-8.044871929824561,-11.249029824561404,-7.156673684210527,-20.216508771929824,-23.839143859649123,-7.943863157894737
v5.0.0,AI,-13.254287912087912,-30.19782857142857,-32.790438461538464,-15.29777032967033,-12.109807692307694,-12.84924945054945,-14.162583516483517,-13.746394505494505,-13.205486813186813,-20.274853846153846,-13.244509890109889,-30.23409010989011,-32.78957692307692,-14.787236263736263
v5.0.0,AS,-21.3817375,-31.5396625,-32.48755,-22.5793,-17.7157375,-20.162412500000002,-26.8709625,-25.86625,-20.63285,-26.186075,-21.3328875,-31.535474999999998,-32.5873,-22.68635
v5.0.0,LD,-15.947253571428572,-31.59963035714286,-30.542301785714283,-17.452798214285714,-15.567723214285715,-15.786714285714286,-17.350076785714286,-16.779248214285712,-15.276598214285714,-20.998075,-16.058426785714286,-31.810610714285712,-30.43726785714286,-17.240482142857143
v5.0.0,RA,-19.670206593406593,-31.73511978021978,-32.20135824175824,-20.977303296703298,-18.727992307692308,-19.385124175824174,-24.543875824175828,-23.408695604395604,-18.906035164835163,-24.113994505494507,-19.806116483516483,-31.87785934065934,-32.04981318681319,-20.754745054945055
v5.0.0,Still,-7.913515789473684,-22.323473684210526,-24.785161403508774,-9.693559649122808,-7.297873684210526,-8.01403157894737,-8.193849122807018,-7.959378947368421,-8.9411,-12.435663157894737,-7.913515789473684,-22.323473684210526,-24.785161403508774,-8.904373684210526
v6.0.0,AI,-15.11144945054945,-33.94777142857143,-36.325039560439556,-17.397796703296702,-14.132210989010987,-14.797259340659341,-16.30332967032967,-15.905917582417581,-15.61311868131868,-23.638136263736264,-15.0932,-33.984895604395604,-36.297686813186814,-16.78181978021978
v6.0.0,AS,-24.2454125,-34.28485,-34.9691125,-25.454225,-20.36555,-22.98305,-29.876125000000002,-29.0475875,-23.2755625,-29.0916,-24.181575000000002,-34.287,-35.0839625,-25.517512500000002
v6.0.0,LD,-18.16555357142857,-36.366433928571425,-35.35613035714285,-19.95554285714286,-17.899594642857142,-17.97989642857143,-20.049353571428572,-19.48861964285714,-18.187589285714285,-25.62225714285714,-18.262732142857143,-36.65849464285714,-35.16469464285714,-19.611812500000003
v6.0.0,RA,-22.472823076923078,-37.19358241758242,-37.256980219780225,-24.05743076923077,-21.760672527472526,-22.266624175824177,-27.458687912087914,-26.44474835164835,-22.158534065934067,-28.780201098901095,-22.551684615384616,-37.32255714285714,-37.090212087912086,-23.653894505494502
v6.0.0,Still,-8.973863157894737,-24.738159649122807,-28.353870175438594,-10.936373684210526,-8.555092982456141,-9.344970175438597,-9.498587719298245,-9.278252631578948,-10.426077192982456,-14.122192982456141,-8.973863157894737,-24.738159649122807,-28.353870175438594,-10.095101754385965
v7.0.0,AI,-16.087147252747254,-36.15709230769231,-37.16427802197803,-18.441524175824174,-15.0251010989011,-15.727453846153846,-17.473618681318683,-17.10453846153846,-16.60103186813187,-25.079045054945055,-16.069357142857143,-36.18516813186813,-37.142164835164834,-17.844773626373627
v7.0.0,AS,-25.4281875,-36.4915375,-36.2913875,-26.72065,-21.349825,-24.0248625,-30.591075,-29.7040625,-24.383074999999998,-30.7619125,-25.3700625,-36.5066625,-36.4171625,-26.7601375
v7.0.0,LD,-19.54510892857143,-39.29809107142857,-38.092705357142854,-21.513505357142858,-19.391853571428573,-19.468775,-21.78709464285714,-21.221444642857143,-19.731325,-27.38184107142857,-19.640041071428573,-39.51240178571429,-37.882975,-21.09687142857143
v7.0.0,RA,-23.50995164835165,-40.931054945054946,-40.52835494505494,-25.38796153846154,-22.85142747252747,-23.358784615384614,-28.583935164835164,-27.606452747252746,-23.379443956043954,-30.76530989010989,-23.579071428571428,-41.09454615384615,-40.40268681318681,-24.85134065934066
v7.0.0,Still,-9.242971929824563,-25.918863157894737,-29.43050701754386,-11.313263157894736,-8.861145614035088,-9.68512807017544,-9.943038596491228,-9.783322807017544,-10.822208771929825,-14.81858947368421,-9.242971929824563,-25.918863157894737,-29.43050701754386,-10.459949122807016
v8.0.0,AI,-17.437604395604396,-37.6605054945055,-38.56076153846154,-19.807464835164836,-16.31890879120879,-17.06350879120879,-18.859295604395605,-18.483285714285714,-17.953136263736265,-26.499884615384616,-17.420079120879123,-37.69911868131868,-38.545475824175824,-19.206749450549452
v8.0.0,AS,-26.2332125,-37.452475,-37.220025,-27.542324999999998,-22.224225,-24.900637500000002,-31.3643875,-30.5164,-25.224362499999998,-31.71885,-26.1759375,-37.48305,-37.33795,-27.5872
v8.0.0,LD,-20.7249125,-40.17891428571429,-39.02581428571428,-22.662121428571428,-20.54856785714286,-20.654644642857143,-22.565457142857145,-22.0797375,-20.899985714285716,-28.48170892857143,-20.81932142857143,-40.376,-38.834153571428565,-22.242048214285713
v8.0.0,RA,-24.882736263736266,-42.08972857142857,-41.65435934065934,-26.736493406593407,-24.147856043956047,-24.691514285714284,-29.55333956043956,-28.631209890109886,-24.734773626373627,-31.979707692307695,-24.979786813186816,-42.242953846153846,-41.550235164835165,-26.22786593406593
v8.0.0,Still,-9.713473684210527,-26.61261403508772,-30.097871929824564,-11.809229824561402,-9.232663157894736,-10.106512280701754,-10.825305263157896,-10.578231578947369,-11.275750877192984,-15.25638947368421,-9.713473684210527,-26.61261403508772,-30.097871929824564,-10.946463157894737
