,,,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
tag,cfg,class,,,,,,,,,,,,,,
v2.0.0,AI,A1,-5.014175,-10.5103875,-12.792237499999999,-5.8013625,-4.40045,-4.990412500000001,-6.207275,-6.1819999999999995,-5.058362499999999,-8.75975,-5.0131125,-10.5132625,-12.765775,-5.8657375
v2.0.0,AI,A2,-4.390442105263158,-12.305610526315789,-15.213347368421054,-5.250510526315789,-4.206642105263158,-4.645842105263158,-5.4908947368421055,-5.3381684210526315,-3.919568421052632,-6.880352631578947,-4.395715789473684,-12.301526315789474,-15.230047368421053,-5.093094736842105
v2.0.0,AI,A3,-4.3324875,-15.4563875,-17.3997625,-5.48745,-4.6247125,-4.5792125,-4.4471375,-4.6636125,-5.0124125,-8.64095,-4.3337375,-15.4675125,-17.41205,-5.11755
v2.0.0,AI,A4,-3.6042166666666664,-19.913583333333335,-23.891000000000002,-5.13235,-5.3604666666666665,-4.92435,-4.8445,-4.71345,-3.500583333333333,-8.011816666666666,-3.6002166666666664,-19.938633333333332,-23.808733333333333,-4.375633333333333
v2.0.0,AI,A5,-2.8969500000000004,-16.24255,-15.117275,-4.162725,-4.001625,-4.00515,-4.5550999999999995,-4.599075,-4.631575,-8.336,-2.894225,-16.303,-15.1725,-3.4402
v2.0.0,AI,B1,-5.46036,-14.98848,-15.62224,-6.48072,-5.962400000000001,-6.51541,-5.37892,-5.32971,-5.19529,-9.14171,-5.45193,-15.073340000000002,-15.66359,-6.29088
v2.0.0,AI,B2,-0.9212000000000001,-17.141077777777777,-15.7049,-2.493022222222222,-0.8658111111111111,-1.2136777777777779,-0.48525555555555555,-0.30863333333333337,-2.451788888888889,-9.81881111111111,-0.906711111111111,-17.064755555555553,-15.66816666666667,-2.3731222222222224
v2.0.0,AI,E,-4.35363125,-15.70284375,-15.649381250000001,-5.8452874999999995,-3.7988750000000002,-4.12725625,-6.2975625,-6.17893125,-4.97615,-8.1144875,-4.2239375,-15.660675,-15.41263125,-4.8043875
v2.0.0,AI,G1,-5.27455,-25.6831,-46.19735,-9.291875000000001,-4.44285,-5.099975000000001,-5.930175,-6.063375000000001,-5.9677500000000006,-18.046325,-5.2837,-25.800775,-46.2535,-7.670825000000001
v2.0.0,AI,G2,-6.846528571428571,-32.6202,-35.45621428571429,-10.012385714285713,-6.7091,-6.851642857142857,-8.3811,-8.184628571428572,-7.5386428571428565,-17.54967142857143,-6.877471428571428,-32.68391428571429,-35.452442857142856,-8.172614285714285
v2.0.0,AS,A1,-2.861925,-8.7768625,-8.995862500000001,-3.578475,-2.568225,-2.8171625000000002,-2.2037875000000002,-2.3041375,-3.1276,-5.5004375,-2.8773,-8.7836625,-9.141125,-3.526875
v2.0.0,LD,A2,-1.9733578947368422,-10.116315789473685,-12.925773684210526,-2.842678947368421,-1.9383105263157894,-2.154347368421053,-3.092836842105263,-2.9655947368421054,-1.684457894736842,-4.150826315789474,-2.0745473684210527,-10.378478947368421,-13.090657894736841,-2.7167578947368423
v2.0.0,LD,A3,-1.4531375,-10.1341125,-10.2175625,-2.30655,-1.2694375,-1.3406625,-0.9617625,-0.9419,-1.7064125,-5.2700625,-1.49045,-9.981425,-9.9345875,-2.0410875
v2.0.0,LD,A4,-1.0055666666666667,-10.917083333333332,-14.262100000000002,-2.0713,-2.701066666666667,-2.3004333333333333,-1.09005,-1.4447333333333336,0.36648333333333327,-2.0678,-1.1954666666666667,-11.326299999999998,-13.8673,-1.8549999999999998
v2.0.0,LD,A5,-0.6765,-12.5383,-3.676525,-1.3713,-1.141925,-0.939825,-0.570125,-0.5011,-1.4354749999999998,-2.37935,-0.907875,-12.543175000000002,-3.680975,-1.2126000000000001
v2.0.0,LD,B1,-1.9525200000000003,-9.70894,-8.50808,-2.6387899999999997,-2.44708,-2.86447,-2.9718299999999997,-2.88361,-1.30673,-2.76503,-1.9186999999999999,-9.95633,-8.241859999999999,-2.41011
v2.0.0,LD,B2,-2.501622222222222,-12.72851111111111,-11.512522222222223,-3.4871777777777777,-3.256033333333333,-3.211688888888889,-2.359,-1.8853777777777776,-3.8370888888888888,-7.891177777777778,-2.5511777777777778,-11.538977777777777,-10.858477777777777,-3.6589111111111112
v2.0.0,RA,A1,-2.3839625,-8.36205,-9.6017125,-3.1100000000000003,-2.1496,-2.4046875,-3.49195,-3.3878875,-2.5907999999999998,-5.3545125,-2.3405,-8.346025000000001,-9.7096,-3.0570874999999997
v2.0.0,RA,A2,-3.051,-8.593321052631579,-11.167463157894737,-3.6687157894736844,-2.768421052631579,-3.143273684210526,-4.141205263157895,-4.032652631578948,-2.5718842105263158,-4.324052631578947,-3.1148736842105262,-8.653421052631579,-11.201463157894736,-3.547142105263158
v2.0.0,RA,A3,-2.8440625,-9.7523125,-9.4968875,-3.55015,-2.7702999999999998,-2.8442625,-2.6125625,-2.5360750000000003,-3.0493125,-6.2556875000000005,-2.8715375,-9.543425,-9.121387499999999,-3.3698375
v2.0.0,RA,A4,-1.5386,-9.237216666666667,-11.824683333333333,-2.4520666666666666,-2.8210833333333336,-2.4722833333333334,-2.549183333333333,-2.5833666666666666,-0.3356166666666665,-2.315,-1.7403833333333332,-9.288666666666666,-11.764116666666666,-2.28445
v2.0.0,RA,A5,-2.14445,-11.973575,-6.926425,-2.88,-2.354625,-2.381075,-1.9952999999999999,-2.135475,-2.89555,-4.5634,-2.4011,-11.9444,-7.079825,-2.64855
v2.0.0,RA,B1,-4.554029999999999,-7.979170000000001,-8.07145,-4.94731,-4.64031,-5.03023,-6.28722,-5.93215,-3.55802,-3.31941,-4.9972,-8.67998,-4.67325,-5.43226
v2.0.0,RA,B2,0.03118888888888898,-11.20051111111111,-10.892900000000001,-1.0024777777777776,-0.7542888888888889,-0.7982444444444443,-1.9736333333333336,-1.8023333333333333,-1.281888888888889,-7.021544444444444,-0.7524111111111111,-9.710044444444444,-9.678822222222221,0.9837888888888888
v2.0.0,RA,E,-3.28158125,-5.950475,-7.344325,-3.79744375,-2.2666625,-3.04814375,1.55133125,2.1346375,-3.2828875,-5.08729375,-3.54023125,-6.06625,-8.02704375,-3.84350625
v2.0.0,RA,G1,-7.426124999999999,-15.560099999999998,-30.559375000000003,-9.50655,-5.140375000000001,-7.278600000000001,-2.8257250000000003,-2.9751,-6.92325,-13.226325,-7.267875,-15.781775,-31.043875,-7.9449
v2.0.0,RA,G2,-3.619742857142857,-21.392485714285716,-24.940114285714287,-5.5968,-3.924728571428571,-3.895385714285714,-5.451328571428571,-5.344314285714285,-4.0846285714285715,-7.625057142857143,-3.485657142857143,-20.46004285714286,-24.704314285714286,-3.9828
v2.0.0,Still,F1,-2.4708357142857147,-14.154560714285713,-17.122600000000002,-3.7609464285714287,-3.190089285714286,-2.732367857142857,-3.3969142857142858,-3.4916428571428573,-3.591846428571429,-5.901485714285714,-2.4708357142857147,-14.154560714285713,-17.122600000000002,-3.0431500000000002
v2.0.0,Still,F2,-3.151637931034483,-10.815531034482758,-13.787720689655172,-4.228079310344827,-3.3105172413793102,-3.589372413793104,-3.660758620689655,-3.71608275862069,-4.312641379310344,-5.928051724137931,-3.151637931034483,-10.815531034482758,-13.787720689655172,-3.506037931034483
v3.0.0,AI,A1,-7.7429,-13.523787500000001,-15.7809375,-8.574025,-6.0237125,-7.352825,-8.3857375,-8.49,-7.5346875,-12.255212499999999,-7.7395125,-13.520825,-15.755575,-8.6188875
v3.0.0,AI,A2,-6.919452631578948,-15.634315789473685,-18.572105263157894,-7.875852631578947,-5.879815789473684,-6.6009,-7.324721052631579,-7.033268421052632,-6.03811052631579,-10.16061052631579,-6.922078947368421,-15.62665263157895,-18.58203157894737,-7.673921052631578
v3.0.0,AI,A3,-6.5055499999999995,-16.359875,-19.8310875,-7.60775,-6.25435,-6.25465,-5.576375,-5.7705874999999995,-6.5893250000000005,-10.29695,-6.5071125,-16.3587875,-19.8413375,-7.2033
v3.0.0,AI,A4,-6.08145,-23.706766666666667,-28.41555,-7.76255,-8.099183333333334,-6.573799999999999,-6.530033333333333,-6.061216666666667,-5.056816666666667,-10.785233333333332,-6.07955,-23.739099999999997,-28.354916666666668,-6.977816666666667
v3.0.0,AI,A5,-4.2131,-16.842975,-16.732425,-5.4603,-5.193325,-4.959625,-4.867025,-4.870875,-5.3414,-9.507,-4.210625,-16.960875,-16.8037,-4.711825
v3.0.0,AI,B1,-8.36797,-17.52316,-18.37282,-9.34679,-7.44105,-8.46274,-6.8363,-6.4709699999999994,-7.115489999999999,-12.046000000000001,-8.3995,-17.58578,-18.4172,-9.16817
v3.0.0,AI,B2,-10.639966666666666,-21.573777777777778,-22.841577777777776,-11.811966666666667,-10.728066666666667,-11.12202222222222,-9.102144444444445,-8.69047777777778,-11.609188888888887,-18.382455555555556,-10.7088,-21.54922222222222,-22.823144444444445,-11.712566666666667
v3.0.0,AI,E,-6.22546875,-16.88400625,-16.85895625,-7.66388125,-5.26749375,-5.59494375,-8.2754375,-8.1507,-6.6436,-9.7252625,-6.09359375,-16.75693125,-16.59118125,-6.525375
v3.0.0,AI,G1,-9.09135,-29.724325,-48.4803,-12.889275,-6.1648499999999995,-7.76215,-9.293700000000001,-9.4363,-8.923275,-20.621650000000002,-9.101075000000002,-29.8521,-48.498425,-11.35585
v3.0.0,AI,G2,-10.062328571428571,-34.75602857142857,-41.618228571428574,-13.337242857142856,-8.881857142857143,-9.382742857142857,-10.430485714285714,-10.071171428571429,-10.090300000000001,-21.440057142857142,-10.09687142857143,-34.6271,-41.60582857142857,-11.491657142857141
v3.0.0,AS,A1,-12.3428625,-14.73105,-16.6355625,-12.726075,-10.0233625,-11.3174125,-15.2303,-14.61875,-11.635275,-13.9851875,-12.3673125,-14.703575,-16.7515875,-12.772287500000001
v3.0.0,LD,A2,-6.449889473684211,-15.636468421052632,-16.33627894736842,-7.319247368421053,-5.739584210526315,-6.145452631578947,-7.906178947368421,-7.511973684210526,-5.555505263157895,-9.333221052631579,-6.562747368421053,-15.962484210526314,-16.505663157894737,-7.238563157894737
v3.0.0,LD,A3,-5.0006875,-14.5168125,-14.10195,-5.90625,-4.570625,-4.579175,-5.2824124999999995,-4.852925,-4.8854375,-8.8433125,-4.9983625,-14.41815,-13.8017,-5.5793125
v3.0.0,LD,A4,-3.9156833333333334,-18.098583333333334,-16.99185,-5.198283333333333,-5.634633333333333,-4.627883333333333,-3.5315499999999997,-4.06125,-2.2715166666666664,-6.5813,-4.134333333333333,-18.491383333333335,-17.325916666666668,-5.042416666666667
v3.0.0,LD,A5,-2.88035,-16.6004,-5.56445,-3.6778,-2.831775,-2.814,-5.038600000000001,-4.683125,-3.3183249999999997,-5.1827499999999995,-3.0689,-16.3619,-5.2997,-3.4287
v3.0.0,LD,B1,-5.79465,-12.93353,-13.08279,-6.487439999999999,-5.82189,-6.26333,-5.91648,-5.59847,-4.591060000000001,-7.174549999999999,-5.70578,-14.39622,-13.061599999999999,-6.1591499999999995
v3.0.0,LD,B2,-12.1678,-18.621077777777778,-19.58498888888889,-12.86791111111111,-12.511288888888888,-12.491888888888889,-14.022211111111112,-12.361022222222223,-12.435744444444445,-15.37138888888889,-12.249144444444445,-17.85988888888889,-18.959755555555557,-13.038744444444445
v3.0.0,RA,A1,-12.071349999999999,-15.4302,-17.7177875,-12.53455,-10.066,-11.2356625,-15.8735375,-14.9312625,-11.3546125,-14.012075000000001,-12.16075,-15.4704625,-17.8862875,-12.6565
v3.0.0,RA,A2,-11.518931578947369,-15.516405263157896,-15.85941052631579,-11.879,-10.416115789473684,-11.050463157894736,-15.898494736842105,-14.851510526315788,-10.151752631578947,-12.408726315789474,-11.681315789473684,-15.670642105263159,-15.887494736842104,-11.978042105263157
v3.0.0,RA,A3,-11.8569,-17.905125,-17.5623625,-12.441575,-11.3802625,-11.6060625,-15.1586625,-14.0239375,-11.500475,-14.6637625,-11.8764625,-17.7595375,-17.201762499999997,-12.23295
v3.0.0,RA,A4,-9.3237,-18.3454,-14.815966666666668,-10.127583333333334,-10.306533333333332,-10.045366666666666,-13.054683333333335,-12.625933333333334,-7.433266666666666,-10.607583333333332,-9.536683333333334,-18.376066666666667,-14.978016666666667,-10.130766666666666
v3.0.0,RA,A5,-9.42615,-18.803024999999998,-12.194825,-10.035475,-9.04,-9.53195,-14.5606,-13.975975,-9.9407,-11.58585,-9.744250000000001,-18.530475,-11.98285,-9.954274999999999
v3.0.0,RA,B1,-9.06479,-9.11698,-10.99915,-9.17638,-9.03712,-9.465610000000002,-12.31633,-11.44755,-7.53366,-7.832589999999999,-9.12667,-10.013259999999999,-10.81862,-9.10244
v3.0.0,RA,B2,-11.131577777777778,-18.389744444444446,-19.22211111111111,-11.92928888888889,-11.122622222222223,-11.441088888888888,-12.387566666666666,-11.019677777777778,-11.697,-14.892855555555554,-11.113311111111111,-17.664188888888887,-18.606488888888887,-11.997788888888888
v3.0.0,RA,E,-8.48411875,-10.2314375,-8.8062,-8.7698625,-7.2966,-7.672725,-12.041875000000001,-11.43805,-7.9512875,-8.81108125,-8.8595125,-10.1103375,-8.6357375,-8.8946375
v3.0.0,RA,G1,-15.588225,-27.6528,-35.598225,-17.200975,-13.4961,-14.0535,-22.6599,-21.760625,-14.7147,-20.61055,-15.75925,-27.939799999999998,-35.553525,-16.694475
v3.0.0,RA,G2,-13.381757142857142,-27.841785714285717,-33.597942857142854,-15.079442857142856,-13.133242857142857,-13.3616,-18.867414285714286,-17.948242857142855,-12.963700000000001,-17.807771428571428,-13.323314285714286,-28.6205,-33.82375714285714,-13.7674
v3.0.0,Still,F1,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-5.164110714285714,-4.148792857142857,-4.065971428571428,-5.008253571428571,-4.833725,-5.018925,-7.2773071428571425,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-4.403878571428572
v3.0.0,Still,F2,-5.465355172413792,-12.558193103448275,-15.849755172413794,-6.527713793103448,-4.842237931034483,-5.369993103448277,-4.52288275862069,-4.512144827586207,-5.801531034482759,-7.913006896551725,-5.465355172413792,-12.558193103448275,-15.849755172413794,-5.724413793103449
